                                                      Productions          |   program                                                                 |   put                                                                     |   EPSILON                                                                 |   else                                                                    |   leq                                                                     |   id                                                                      |   if                                                                      |   (                                                                       |   )                                                                       |   *                                                                       |   then                                                                    |   +                                                                       |   ,                                                                       |   -                                                                       |   .                                                                       |   /                                                                       |   :                                                                       |   ;                                                                       |   =                                                                       |   floatNum                                                                |   geq                                                                     |   get                                                                     |   [                                                                       |   ]                                                                       |   sr                                                                      |   intNum                                                                  |   {                                                                       |   }                                                                       |   return                                                                  |   lt                                                                      |   float                                                                   |   neq                                                                     |   eq                                                                      |   for                                                                     |   not                                                                     |   and                                                                     |   class                                                                   |   or                                                                      |   gt                                                                      |   int                                                                     |

                                                      fParamsTail          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   fParamsTail => [,, typeId, arraySizeRepeat]                             |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |

                                                             sign          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   sign => [+]                                                             |                                                                           |   sign => [-]                                                             |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |

                                     varDeclRepeatStatementRepeat          |                                                                           |   varDeclRepeatStatementRepeat => [vadrsType]                             |                                                                           |                                                                           |                                                                           |   varDeclRepeatStatementRepeat => [vadrsType]                             |   varDeclRepeatStatementRepeat => [vadrsType]                             |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   varDeclRepeatStatementRepeat => [vadrsType]                             |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   varDeclRepeatStatementRepeat => [EPSILON]                               |   varDeclRepeatStatementRepeat => [vadrsType]                             |                                                                           |   varDeclRepeatStatementRepeat => [vadrsType]                             |                                                                           |                                                                           |   varDeclRepeatStatementRepeat => [vadrsType]                             |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   varDeclRepeatStatementRepeat => [vadrsType]                             |

                                                          aParams          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   aParams => [expr, aParamsTailRepeat]                                    |                                                                           |   aParams => [expr, aParamsTailRepeat]                                    |   aParams => [EPSILON]                                                    |                                                                           |                                                                           |   aParams => [expr, aParamsTailRepeat]                                    |                                                                           |   aParams => [expr, aParamsTailRepeat]                                    |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   aParams => [expr, aParamsTailRepeat]                                    |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   aParams => [expr, aParamsTailRepeat]                                    |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   aParams => [expr, aParamsTailRepeat]                                    |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |

                                                             type          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   type => [id]                                                            |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   type => [float]                                                         |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   type => [int]                                                           |

                                             variableFactorFactor          |                                                                           |                                                                           |   variableFactorFactor => [variable, variableFactorFactorFactor]          |                                                                           |                                                                           |                                                                           |                                                                           |   variableFactorFactor => [functionCall, ., variableFactor]               |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   variableFactorFactor => [variable, variableFactorFactorFactor]          |                                                                           |                                                                           |                                                                           |   variableFactorFactor => [variable, variableFactorFactorFactor]          |                                                                           |                                                                           |                                                                           |   variableFactorFactor => [variable, variableFactorFactorFactor]          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |

                                                        arithExpr          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   arithExpr => [term, arithExprMod]                                       |                                                                           |   arithExpr => [term, arithExprMod]                                       |                                                                           |                                                                           |                                                                           |   arithExpr => [term, arithExprMod]                                       |                                                                           |   arithExpr => [term, arithExprMod]                                       |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   arithExpr => [term, arithExprMod]                                       |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   arithExpr => [term, arithExprMod]                                       |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   arithExpr => [term, arithExprMod]                                       |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |

                                                  varDeclfuncDecl          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   varDeclfuncDecl => [typeId, varDeclPre]                                 |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   varDeclfuncDecl => [EPSILON]                                            |                                                                           |                                                                           |   varDeclfuncDecl => [typeId, varDeclPre]                                 |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   varDeclfuncDecl => [typeId, varDeclPre]                                 |

